title,artist,featured_artist,vocal,category,source_platform,verification,status
Siara,Treast,,Chang Mazhar,Original,,,public official music video found
Sukacita Di Hari Raya,Treast,,,Original,,,existing project copy
Atay Nu Atay Ku,Treast,,,Original,,,existing project copy
Kyabayaanku,Treast,,,Original,,,public official music video found
Tinombong Ka,Ce Mon x Treast,,,Collaboration,,,public official music video found
Rayakan Aidilfitri,Treast,,,Original,,,public official music video found
Mamahi Panansang,Treast,,Ce Mon,Original,,,public promotional post found
Tunub In Nanam,Treast,,,Original,,,2025 promo reference found
Piyagbatuk Na In Suratan,Trrast/Treast,,Fiq; Emma,Project / release asset,,,credits from user project artwork; spelling Trrast vs Treast must be standardized
Masi Malasa,Treast X Pia Ramona,Pia Ramona,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
Bugtuan Napas,Treast X Pia Ramona,Pia Ramona,,Rock Cover,Treast Official YouTube,secondary index linked to YouTube,
Kiyapag Isunan,Treast X Pia Ramona,Pia Ramona,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
Lasa Mag Labi,Pia Ramona X Treast,Pia Ramona,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
Wayna Dugaing Lasahun,Treast X Wanie Amir,Wanie Amir,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
Sabalan,Treast X Latiff Rashid,Latiff Rashid,,Cover,Treast Official YouTube,secondary index linked to YouTube,
Landu Sa In Lasaku,Azirah X Treast,Azirah,,Official Music Video,Treast Official YouTube,secondary index linked to YouTube,
Aku Tak Sempurna,Atikah Zaki X Treast,Atikah Zaki,,Official Music Video,Treast Official YouTube,secondary index linked to YouTube,
Terakhir Kali,Atikah Zaki X Treast,Atikah Zaki,,Official Music Video,Treast Official YouTube,secondary index linked to YouTube,
Kalasahanku,Treast,,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
Nagtatapok Sin Bayah,Treast,,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
Astana Kasilasa,Treast,,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
Hitangis Kura Kuman,Treast,,,Official Cover / Tausug Song,Treast Official YouTube,secondary index linked to YouTube,
Ikaw Na In Panagnaan,Treast,,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
Alpha Kappa Rho,Treast,,,Official Cover,Treast Official YouTube,secondary index linked to YouTube,
