name,artist_name,role,status,known_for,notes
Ronnie Fung,R.ON,Main Producer; Director; Creative Direction,confirmed from project materials,,"Leads overall production development, emotional direction, arrangement/production strategy and visual presentation."
Datu/Dato Hazriel,,Associate Producer; Creative Collaborator; Lyricist on selected works,title spelling needs final confirmation,,Project materials use both Datu Hazriel and Dato Hazriel.
Budi Muin,,Musician; Composer; Mixing/Mastering; Producer on selected works,public credits found,,Appears in Treast public video credits; exact permanent band role should be confirmed.
Meme Gend,,Guitar,public credits found,,Appears in Treast performance/video credits; confirm whether core member.
Ayu,,Keyboard,public credits found,,Appears in a Treast collaboration/cover credit; full name and core-member status need confirmation.
Chang Mazhar,,Featured Vocalist,public credits found,Siara,
Ce Mon,,Featured Vocalist,public credits found,Tinombong Ka; Mamahi Panansang,
Fiq,,Featured Vocalist,project material,Piyagbatuk Na In Suratan,
Emma,,Featured Vocalist,project material,Piyagbatuk Na In Suratan,
Pia Ramona,,Featured/Collaborating Vocalist,YouTube-linked secondary index confirmed,Bugtuan Napas; Kiyapag Isunan; Lasa Mag Labi; Masi Malasa,
Latif Rashid,,Featured/Collaborating Vocalist,YouTube-linked secondary index confirmed,Sabalan,
Wanie Amir,,Featured/Collaborating Vocalist,YouTube-linked secondary index confirmed,Wayna Dugaing Lasahun,
Azirah,,Featured/Collaborating Vocalist,YouTube-linked secondary index confirmed,Landu Sa In Lasaku,
Atikah Zaki,,Featured/Collaborating Vocalist,YouTube-linked secondary index confirmed,Aku Tak Sempurna; Terakhir Kali,
